kode dapil;jenis dapil;nama dapil;kode wilayah;tingkatan wilayah;nama;is_pecah
2101;DPR RI;KEPULAUAN RIAU I;2104;Kabupaten/Kota;LINGGA;FALSE
2101;DPR RI;KEPULAUAN RIAU I;2105;Kabupaten/Kota;KEPULAUAN ANAMBAS;FALSE
2101;DPR RI;KEPULAUAN RIAU I;2171;Kabupaten/Kota;KOTA BATAM;FALSE
2101;DPR RI;KEPULAUAN RIAU I;2172;Kabupaten/Kota;KOTA TANJUNG PINANG;FALSE
3101;DPR RI;DKI JAKARTA I;3175;Kabupaten/Kota;JAKARTA TIMUR;FALSE
3102;DPR RI;DKI JAKARTA II;3171;Kabupaten/Kota;JAKARTA PUSAT + LUAR NEGERI;FALSE
3102;DPR RI;DKI JAKARTA II;3174;Kabupaten/Kota;JAKARTA SELATAN;FALSE
3103;DPR RI;DKI JAKARTA III;3101;Kabupaten/Kota;KEP. SERIBU;FALSE
3103;DPR RI;DKI JAKARTA III;3172;Kabupaten/Kota;JAKARTA UTARA;FALSE
3103;DPR RI;DKI JAKARTA III;3173;Kabupaten/Kota;JAKARTA BARAT;FALSE
3201;DPR RI;JAWA BARAT I;3273;Kabupaten/Kota;KOTA BANDUNG;FALSE
3201;DPR RI;JAWA BARAT I;3277;Kabupaten/Kota;KOTA CIMAHI;FALSE
3202;DPR RI;JAWA BARAT II;3204;Kabupaten/Kota;BANDUNG;FALSE
3202;DPR RI;JAWA BARAT II;3217;Kabupaten/Kota;BANDUNG BARAT;FALSE
3203;DPR RI;JAWA BARAT III;3203;Kabupaten/Kota;CIANJUR;FALSE
3203;DPR RI;JAWA BARAT III;3271;Kabupaten/Kota;KOTA BOGOR;FALSE
3204;DPR RI;JAWA BARAT IV;3202;Kabupaten/Kota;SUKABUMI;FALSE
3204;DPR RI;JAWA BARAT IV;3272;Kabupaten/Kota;KOTA SUKABUMI;FALSE
3205;DPR RI;JAWA BARAT V;3201;Kabupaten/Kota;BOGOR;FALSE
3206;DPR RI;JAWA BARAT VI;3275;Kabupaten/Kota;KOTA BEKASI;FALSE
3206;DPR RI;JAWA BARAT VI;3276;Kabupaten/Kota;KOTA DEPOK;FALSE
3207;DPR RI;JAWA BARAT VII;3214;Kabupaten/Kota;PURWAKARTA;FALSE
3207;DPR RI;JAWA BARAT VII;3215;Kabupaten/Kota;KARAWANG;FALSE
3207;DPR RI;JAWA BARAT VII;3216;Kabupaten/Kota;BEKASI;FALSE
3208;DPR RI;JAWA BARAT VIII;3209;Kabupaten/Kota;CIREBON;FALSE
3208;DPR RI;JAWA BARAT VIII;3212;Kabupaten/Kota;INDRAMAYU;FALSE
3208;DPR RI;JAWA BARAT VIII;3274;Kabupaten/Kota;KOTA CIREBON;FALSE
3209;DPR RI;JAWA BARAT IX;3210;Kabupaten/Kota;MAJALENGKA;FALSE
3209;DPR RI;JAWA BARAT IX;3211;Kabupaten/Kota;SUMEDANG;FALSE
3209;DPR RI;JAWA BARAT IX;3213;Kabupaten/Kota;SUBANG;FALSE
3210;DPR RI;JAWA BARAT X;3207;Kabupaten/Kota;CIAMIS;FALSE
3210;DPR RI;JAWA BARAT X;3208;Kabupaten/Kota;KUNINGAN;FALSE
3210;DPR RI;JAWA BARAT X;3218;Kabupaten/Kota;PANGANDARAN;FALSE
3210;DPR RI;JAWA BARAT X;3279;Kabupaten/Kota;KOTA BANJAR;FALSE
3211;DPR RI;JAWA BARAT XI;3205;Kabupaten/Kota;GARUT;FALSE
3211;DPR RI;JAWA BARAT XI;3206;Kabupaten/Kota;TASIKMALAYA;FALSE
3211;DPR RI;JAWA BARAT XI;3278;Kabupaten/Kota;KOTA TASIKMALAYA;FALSE
3301;DPR RI;JAWA TENGAH I;3322;Kabupaten/Kota;SEMARANG;FALSE
3301;DPR RI;JAWA TENGAH I;3324;Kabupaten/Kota;KENDAL;FALSE
3301;DPR RI;JAWA TENGAH I;3373;Kabupaten/Kota;KOTA SALATIGA;FALSE
3301;DPR RI;JAWA TENGAH I;3374;Kabupaten/Kota;KOTA SEMARANG;FALSE
3302;DPR RI;JAWA TENGAH II;3319;Kabupaten/Kota;KUDUS;FALSE
3302;DPR RI;JAWA TENGAH II;3320;Kabupaten/Kota;JEPARA;FALSE
3302;DPR RI;JAWA TENGAH II;3321;Kabupaten/Kota;DEMAK;FALSE
3303;DPR RI;JAWA TENGAH III;3315;Kabupaten/Kota;GROBOGAN;FALSE
3303;DPR RI;JAWA TENGAH III;3316;Kabupaten/Kota;BLORA;FALSE
3303;DPR RI;JAWA TENGAH III;3317;Kabupaten/Kota;REMBANG;FALSE
3303;DPR RI;JAWA TENGAH III;3318;Kabupaten/Kota;PATI;FALSE
3304;DPR RI;JAWA TENGAH IV;3312;Kabupaten/Kota;WONOGIRI;FALSE
3304;DPR RI;JAWA TENGAH IV;3313;Kabupaten/Kota;KARANGANYAR;FALSE
3304;DPR RI;JAWA TENGAH IV;3314;Kabupaten/Kota;SRAGEN;FALSE
3305;DPR RI;JAWA TENGAH V;3309;Kabupaten/Kota;BOYOLALI;FALSE
3305;DPR RI;JAWA TENGAH V;3310;Kabupaten/Kota;KLATEN;FALSE
3305;DPR RI;JAWA TENGAH V;3311;Kabupaten/Kota;SUKOHARJO;FALSE
3305;DPR RI;JAWA TENGAH V;3372;Kabupaten/Kota;KOTA SURAKARTA;FALSE
3306;DPR RI;JAWA TENGAH VI;3306;Kabupaten/Kota;PURWOREJO;FALSE
3306;DPR RI;JAWA TENGAH VI;3307;Kabupaten/Kota;WONOSOBO;FALSE
3306;DPR RI;JAWA TENGAH VI;3308;Kabupaten/Kota;MAGELANG;FALSE
3306;DPR RI;JAWA TENGAH VI;3323;Kabupaten/Kota;TEMANGGUNG;FALSE
3306;DPR RI;JAWA TENGAH VI;3371;Kabupaten/Kota;KOTA MAGELANG;FALSE
3307;DPR RI;JAWA TENGAH VII;3303;Kabupaten/Kota;PURBALINGGA;FALSE
3307;DPR RI;JAWA TENGAH VII;3304;Kabupaten/Kota;BANJARNEGARA;FALSE
3307;DPR RI;JAWA TENGAH VII;3305;Kabupaten/Kota;KEBUMEN;FALSE
3308;DPR RI;JAWA TENGAH VIII;3301;Kabupaten/Kota;CILACAP;FALSE
3308;DPR RI;JAWA TENGAH VIII;3302;Kabupaten/Kota;BANYUMAS;FALSE
3309;DPR RI;JAWA TENGAH IX;3328;Kabupaten/Kota;TEGAL;FALSE
3309;DPR RI;JAWA TENGAH IX;3329;Kabupaten/Kota;BREBES;FALSE
3309;DPR RI;JAWA TENGAH IX;3376;Kabupaten/Kota;KOTA TEGAL;FALSE
3310;DPR RI;JAWA TENGAH X;3325;Kabupaten/Kota;BATANG;FALSE
3310;DPR RI;JAWA TENGAH X;3326;Kabupaten/Kota;PEKALONGAN;FALSE
3310;DPR RI;JAWA TENGAH X;3327;Kabupaten/Kota;PEMALANG;FALSE
